x_values,y_values
443.4966125488281,129.67514038085938
443.5144958496094,129.7910919189453
443.5329284667969,129.90940856933594
443.5547180175781,130.02874755859375
443.5774230957031,130.1499481201172
443.5984191894531,130.27268981933594
443.6182861328125,130.39698791503906
443.63787841796875,130.52279663085938
443.65728759765625,130.6503143310547
443.6770324707031,130.77943420410156
443.6954345703125,130.91017150878906
443.71392822265625,131.04244995117188
443.7318420410156,131.1762237548828
443.7507629394531,131.31143188476562
443.7678527832031,131.4481964111328
443.78680419921875,131.58738708496094
443.80810546875,131.7261199951172
443.8293151855469,131.86502075195312
443.8488464355469,132.0044708251953
443.8682556152344,132.1440887451172
443.88775634765625,132.28379821777344
443.9072265625,132.4236297607422
443.9266662597656,132.56356811523438
443.946044921875,132.70361328125
443.9657897949219,132.84365844726562
443.98553466796875,132.9838104248047
444.0052795410156,133.12400817871094
444.02508544921875,133.26425170898438
444.0478820800781,133.4046630859375
444.0718078613281,133.5449981689453
444.096435546875,133.68527221679688
444.12200927734375,133.8255157470703
444.146484375,133.96640014648438
444.1700134277344,134.10781860351562
444.19403076171875,134.2493438720703
444.2180480957031,134.39109802246094
444.24261474609375,134.53292846679688
444.2672119140625,134.6749267578125
444.2919921875,134.81703186035156
444.31683349609375,134.9593505859375
444.34478759765625,135.10153198242188
444.3740539550781,135.24417114257812
444.4068298339844,135.3859405517578
444.4388427734375,135.52835083007812
444.470703125,135.67108154296875
444.5026550292969,135.8140106201172
444.5345458984375,135.95718383789062
444.5666809082031,136.10043334960938
444.5993347167969,136.24371337890625
444.6321716308594,136.38706970214844
444.6654052734375,136.53045654296875
444.69903564453125,136.67385864257812
444.73199462890625,136.8179473876953
444.769287109375,136.9606170654297
444.81134033203125,137.1020965576172
444.8538818359375,137.2436981201172
444.89599609375,137.3858184814453
444.93511962890625,137.52952575683594
444.97491455078125,137.6732177734375
445.01458740234375,137.81719970703125
445.054443359375,137.96133422851562
445.094482421875,138.10560607910156
445.134765625,138.24998474121094
445.1753845214844,138.39437866210938
445.2151184082031,138.53985595703125
445.260498046875,138.6831817626953
445.3095703125,138.82545471191406
445.3579406738281,138.968505859375
445.4058532714844,139.11212158203125
445.4530944824219,139.25636291503906
445.4999694824219,139.40101623535156
445.5469055175781,139.54588317871094
