x_values,y_values
421.0,113.69869995117188
421.0,113.83444213867188
421.0,113.96888732910156
421.0,114.10144805908205
421.0,114.2320785522461
421.0,114.36062622070312
421.0,114.487060546875
421.0,114.61135864257812
421.0,114.73348999023438
421.0,114.85343933105467
421.0,114.97364044189452
421.0,115.09331512451172
421.0,115.21237182617188
421.0,115.3307876586914
421.0,115.4484634399414
421.0,115.56522369384766
421.0,115.6811065673828
421.0,115.79602813720705
421.0,115.91205596923828
421.0,116.02915954589844
421.0,116.14729309082033
421.0,116.267822265625
421.0,116.3882827758789
421.0,116.50967407226562
421.0,116.63197326660156
421.0,116.7551040649414
421.0,116.87744140625
421.0,116.99990844726562
421.0,117.1233139038086
421.0,117.24758911132812
421.0,117.3727035522461
421.0,117.49861907958984
421.0,117.62530517578124
421.0,117.75271606445312
421.0,117.88084411621094
421.0,118.0094757080078
421.0,118.13858795166016
421.0,118.2681655883789
421.0,118.39820098876952
421.0,118.52877807617188
421.0,118.66079711914062
421.0,118.7938003540039
421.0,118.92926788330078
421.0,119.06405639648438
421.0,119.1982879638672
421.0,119.33373260498048
421.0,119.46958923339844
421.0,119.6050262451172
421.0,119.74079132080078
421.0,119.87645721435548
421.0,120.01214599609376
421.0,120.1485824584961
421.0,120.28590393066406
421.0,120.42448425292967
421.0,120.56385803222656
421.0,120.70411682128906
421.0,120.8454818725586
421.0,120.98861694335938
421.0,121.1333465576172
421.0,121.27963256835938
421.0,121.4275131225586
421.0,121.57701110839844
421.0,121.72850036621094
421.0,121.88214874267578
421.0,122.03794860839844
421.0,122.19581604003906
421.0,122.35565185546876
421.0,122.51750183105467
421.0,122.68118286132812
421.0,122.84675598144533
421.0,123.01427459716795
421.0,123.18389129638672
421.0,123.3546905517578
421.0,123.52684783935548
421.0,123.70133209228516
421.0,123.87738037109376
421.0,124.05510711669922
421.0,124.23463439941406
421.0,124.41606903076172
421.0,124.5994873046875
421.0,124.78468322753906
421.0,124.9717025756836
421.0,125.16061401367188
421.0,125.35147094726562
421.0,125.54429626464844
421.0,125.7394027709961
421.0,125.93684387207033
421.0,126.13655853271484
421.0,126.33849334716795
421.0,126.5425796508789
421.0,126.7487564086914
421.0,126.9569854736328
421.0,127.16722106933594
421.0,127.3794174194336
421.0,127.59355926513672
421.0,127.80960845947266
421.0,128.02752685546875
421.0,128.24729919433594
421.0,128.4689178466797
421.0,128.6923370361328
421.0,128.91754150390625
421.0,129.144775390625
421.0,129.37403869628906
421.0,129.60528564453125
421.0,129.8383331298828
421.0,130.07339477539062
421.0,130.3102264404297
421.0,130.54928588867188
421.0,130.7897491455078
421.0,131.03208923339844
421.0,131.27581787109375
421.0,131.52122497558594
421.0,131.76902770996094
421.0,132.01893615722656
421.0,132.27088928222656
421.0,132.5239715576172
421.0,132.77908325195312
421.0,133.0362091064453
421.0,133.29502868652344
421.0,133.5562286376953
421.0,133.8196258544922
421.0,134.0854949951172
421.0,134.353759765625
421.0,134.62417602539062
421.0,134.896728515625
421.0,135.17137145996094
421.0,135.4480438232422
421.0,135.72666931152344
421.0,136.00711059570312
421.5793151855469,136.28883361816406
421.5650024414063,136.57180786132812
421.554931640625,136.85592651367188
421.5491943359375,137.14004516601562
421.5478820800781,137.424072265625
421.551025390625,137.70791625976562
421.5586242675781,137.9915008544922
421.5707092285156,138.27471923828125
421.5872802734375,138.55752563476562
421.60784912109375,138.83987426757812
421.632568359375,139.12168884277344
421.6616516113281,139.40289306640625
421.6962585449219,139.68313598632812
421.7353820800781,139.96250915527344
421.778076171875,140.2411651611328
421.82415771484375,140.51910400390625
421.8735656738281,140.7963104248047
421.9263305664063,141.07276916503906
421.9822692871094,141.34848022460938
422.0420227050781,141.62326049804688
422.1056518554688,141.89706420898438
422.17578125,142.16943359375
422.2478637695313,142.43922424316406
422.320556640625,142.7064208984375
422.3943176269531,142.9720001220703
